InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536400,PROD_003,JUMBO BAG RED RETROSPOT,3,2023-09-11 12:00:00,1.85,17753,UK
536401,PROD_001,SET OF 6 SPACEBOY CD,8,2023-11-21 11:00:00,3.95,15161,France
536401,PROD_016,SET OF 4 KNICK KNACK TINS,3,2023-11-21 11:00:00,5.95,15161,France
536401,PROD_019,STRAWBERRY SHOPPING TROLLEY,1,2023-11-21 11:00:00,2.95,15161,Germany
536402,PROD_010,ALARM CLOCK BAKELIKE RED,2,2023-04-11 10:00:00,3.75,15843,UK
536402,PROD_011,ALARM CLOCK BAKELIKE GREEN,2,2023-04-11 10:00:00,3.75,15843,France
536402,PROD_012,PAPK OF 12 VINTAGE TICKETS,1,2023-04-11 10:00:00,0.85,15843,France
536402,PROD_011,ALARM CLOCK BAKELIKE GREEN,2,2023-04-11 10:00:00,3.75,15843,UK
536403,PROD_003,JUMBO BAG RED RETROSPOT,5,2023-07-15 17:00:00,1.85,16319,Germany
536403,PROD_003,JUMBO BAG RED RETROSPOT,3,2023-07-15 17:00:00,1.85,16319,USA
536403,PROD_009,SET OF 2 TEA TOWELS,4,2023-07-15 17:00:00,2.5,16319,UK
536404,PROD_016,SET OF 4 KNICK KNACK TINS,1,2023-06-01 14:00:00,5.95,14488,UK
536404,PROD_012,PAPK OF 12 VINTAGE TICKETS,9,2023-06-01 14:00:00,0.85,14488,UK
536404,PROD_002,REGENCY CAKESTAND 3 TIER,3,2023-06-01 14:00:00,12.75,14488,UK
536404,PROD_008,ROSES REGENCY TEACUP AND SAUCER,9,2023-06-01 14:00:00,5.95,14488,Australia
536404,PROD_016,SET OF 4 KNICK KNACK TINS,9,2023-06-01 14:00:00,5.95,14488,UK
536405,PROD_004,LUNCH BAG VINTAGE DOILY,9,2023-08-11 11:00:00,1.65,13062,UK
536405,PROD_002,REGENCY CAKESTAND 3 TIER,5,2023-08-11 11:00:00,12.75,13062,Germany
536405,PROD_011,ALARM CLOCK BAKELIKE GREEN,7,2023-08-11 11:00:00,3.75,13062,Germany
536406,PROD_010,ALARM CLOCK BAKELIKE RED,5,2023-04-19 12:00:00,3.75,13407,Germany
536406,PROD_011,ALARM CLOCK BAKELIKE GREEN,2,2023-04-19 12:00:00,3.75,13407,USA
536407,PROD_009,SET OF 2 TEA TOWELS,9,2023-09-10 13:00:00,2.5,13298,Germany
536408,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,1,2023-07-13 12:00:00,0.55,15026,Australia
536408,PROD_002,REGENCY CAKESTAND 3 TIER,1,2023-07-13 12:00:00,12.75,15026,USA
536409,PROD_018,HEART OF WICKER SMALL,6,2023-10-28 11:00:00,1.25,16657,France
536409,PROD_011,ALARM CLOCK BAKELIKE GREEN,3,2023-10-28 11:00:00,3.75,16657,UK
536410,PROD_005,ASSORTED COLOUR BIRD ORNAMENT,8,2023-06-22 09:00:00,1.69,15867,UK
536410,PROD_018,HEART OF WICKER SMALL,9,2023-06-22 09:00:00,1.25,15867,Germany
536411,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,6,2023-12-14 16:00:00,2.95,18875,UK
536411,PROD_002,REGENCY CAKESTAND 3 TIER,5,2023-12-14 16:00:00,12.75,18875,UK
536412,PROD_017,SET OF 4 PANTRY JARS,9,2023-07-22 12:00:00,6.35,15629,UK
536413,PROD_010,ALARM CLOCK BAKELIKE RED,8,2023-01-01 12:00:00,3.75,17607,UK
536413,PROD_011,ALARM CLOCK BAKELIKE GREEN,8,2023-01-01 12:00:00,3.75,17607,France
536413,PROD_009,SET OF 2 TEA TOWELS,8,2023-01-01 12:00:00,2.5,17607,UK
536414,PROD_004,LUNCH BAG VINTAGE DOILY,9,2023-05-16 17:00:00,1.65,16530,UK
536415,PROD_015,SMALL POPCORN HOLDER,3,2023-05-25 16:00:00,1.25,18387,Germany
536415,PROD_012,PAPK OF 12 VINTAGE TICKETS,2,2023-05-25 16:00:00,0.85,18387,UK
536416,PROD_017,SET OF 4 PANTRY JARS,5,2023-10-30 16:00:00,6.35,17149,UK
536416,PROD_012,PAPK OF 12 VINTAGE TICKETS,1,2023-10-30 16:00:00,0.85,17149,Germany
536417,PROD_016,SET OF 4 KNICK KNACK TINS,1,2023-08-12 08:00:00,5.95,14538,UK
536417,PROD_012,PAPK OF 12 VINTAGE TICKETS,3,2023-08-12 08:00:00,0.85,14538,UK
536418,PROD_004,LUNCH BAG VINTAGE DOILY,5,2023-11-07 13:00:00,1.65,12749,UK
536418,PROD_005,ASSORTED COLOUR BIRD ORNAMENT,5,2023-11-07 13:00:00,1.69,12749,USA
536418,PROD_002,REGENCY CAKESTAND 3 TIER,3,2023-11-07 13:00:00,12.75,12749,UK
536419,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-01-01 10:00:00,2.95,18945,Germany
536420,PROD_002,REGENCY CAKESTAND 3 TIER,2,2023-12-14 15:00:00,12.75,14426,Australia
536421,PROD_016,SET OF 4 KNICK KNACK TINS,7,2023-08-24 12:00:00,5.95,13422,Germany
536422,PROD_001,SET OF 6 SPACEBOY CD,3,2023-03-07 10:00:00,3.95,16326,Australia
536422,PROD_005,ASSORTED COLOUR BIRD ORNAMENT,4,2023-03-07 10:00:00,1.69,16326,UK
536422,PROD_017,SET OF 4 PANTRY JARS,1,2023-03-07 10:00:00,6.35,16326,Germany
536422,PROD_001,SET OF 6 SPACEBOY CD,7,2023-03-07 10:00:00,3.95,16326,UK
536422,PROD_017,SET OF 4 PANTRY JARS,1,2023-03-07 10:00:00,6.35,16326,USA
536423,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,2,2023-07-03 08:00:00,0.55,12482,France
536423,PROD_002,REGENCY CAKESTAND 3 TIER,2,2023-07-03 08:00:00,12.75,12482,UK
536424,PROD_015,SMALL POPCORN HOLDER,6,2023-02-12 10:00:00,1.25,16163,France
536424,PROD_010,ALARM CLOCK BAKELIKE RED,4,2023-02-12 10:00:00,3.75,16163,UK
536425,PROD_017,SET OF 4 PANTRY JARS,2,2023-10-08 10:00:00,6.35,14064,UK
536425,PROD_018,HEART OF WICKER SMALL,6,2023-10-08 10:00:00,1.25,14064,UK
536425,PROD_018,HEART OF WICKER SMALL,1,2023-10-08 10:00:00,1.25,14064,UK
536425,PROD_004,LUNCH BAG VINTAGE DOILY,2,2023-10-08 10:00:00,1.65,14064,UK
536426,PROD_014,WOODEN PICTURE FRAME WHITE,8,2023-10-28 16:00:00,4.5,14098,Australia
536427,PROD_016,SET OF 4 KNICK KNACK TINS,3,2023-02-17 08:00:00,5.95,15223,UK
536428,PROD_013,PACK OF 20 SKULL PAPER NAPKINS,8,2023-10-30 15:00:00,2.1,15111,UK
536428,PROD_001,SET OF 6 SPACEBOY CD,3,2023-10-30 15:00:00,3.95,15111,Australia
536429,PROD_014,WOODEN PICTURE FRAME WHITE,7,2023-12-29 09:00:00,4.5,15142,UK
536429,PROD_004,LUNCH BAG VINTAGE DOILY,7,2023-12-29 09:00:00,1.65,15142,UK
536430,PROD_003,JUMBO BAG RED RETROSPOT,2,2023-10-27 16:00:00,1.85,12470,UK
536430,PROD_009,SET OF 2 TEA TOWELS,6,2023-10-27 16:00:00,2.5,12470,UK
536430,PROD_002,REGENCY CAKESTAND 3 TIER,8,2023-10-27 16:00:00,12.75,12470,UK
536430,PROD_008,ROSES REGENCY TEACUP AND SAUCER,3,2023-10-27 16:00:00,5.95,12470,UK
536431,PROD_012,PAPK OF 12 VINTAGE TICKETS,9,2023-01-06 11:00:00,0.85,15005,UK
536431,PROD_005,ASSORTED COLOUR BIRD ORNAMENT,6,2023-01-06 11:00:00,1.69,15005,UK
536431,PROD_004,LUNCH BAG VINTAGE DOILY,6,2023-01-06 11:00:00,1.65,15005,UK
536432,PROD_009,SET OF 2 TEA TOWELS,4,2023-12-16 15:00:00,2.5,14908,USA
536432,PROD_007,SET OF 3 REGENCY TEA TOWELS,6,2023-12-16 15:00:00,3.25,14908,UK
536432,PROD_008,ROSES REGENCY TEACUP AND SAUCER,4,2023-12-16 15:00:00,5.95,14908,UK
536432,PROD_004,LUNCH BAG VINTAGE DOILY,6,2023-12-16 15:00:00,1.65,14908,UK
536433,PROD_018,HEART OF WICKER SMALL,5,2023-03-03 16:00:00,1.25,14896,UK
536433,PROD_012,PAPK OF 12 VINTAGE TICKETS,6,2023-03-03 16:00:00,0.85,14896,France
536433,PROD_011,ALARM CLOCK BAKELIKE GREEN,4,2023-03-03 16:00:00,3.75,14896,UK
536434,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,4,2023-05-20 08:00:00,0.55,16553,UK
536434,PROD_002,REGENCY CAKESTAND 3 TIER,3,2023-05-20 08:00:00,12.75,16553,UK
536434,PROD_012,PAPK OF 12 VINTAGE TICKETS,2,2023-05-20 08:00:00,0.85,16553,UK
536435,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,9,2023-05-18 09:00:00,2.95,12605,Germany
536435,PROD_004,LUNCH BAG VINTAGE DOILY,8,2023-05-18 09:00:00,1.65,12605,France
536436,PROD_017,SET OF 4 PANTRY JARS,2,2023-04-04 08:00:00,6.35,15835,UK
536436,PROD_013,PACK OF 20 SKULL PAPER NAPKINS,3,2023-04-04 08:00:00,2.1,15835,USA
536436,PROD_010,ALARM CLOCK BAKELIKE RED,6,2023-04-04 08:00:00,3.75,15835,UK
536436,PROD_008,ROSES REGENCY TEACUP AND SAUCER,8,2023-04-04 08:00:00,5.95,15835,Germany
536437,PROD_013,PACK OF 20 SKULL PAPER NAPKINS,4,2023-09-27 10:00:00,2.1,13597,UK
536438,PROD_013,PACK OF 20 SKULL PAPER NAPKINS,7,2023-03-30 09:00:00,2.1,13410,UK
536438,PROD_018,HEART OF WICKER SMALL,1,2023-03-30 09:00:00,1.25,13410,UK
536438,PROD_005,ASSORTED COLOUR BIRD ORNAMENT,1,2023-03-30 09:00:00,1.69,13410,UK
536438,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-03-30 09:00:00,2.95,13410,UK
536439,PROD_002,REGENCY CAKESTAND 3 TIER,3,2023-04-14 10:00:00,12.75,16032,UK
536439,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,4,2023-04-14 10:00:00,0.55,16032,Germany
536440,PROD_005,ASSORTED COLOUR BIRD ORNAMENT,7,2023-10-16 11:00:00,1.69,18133,UK
536440,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,4,2023-10-16 11:00:00,2.95,18133,UK
536440,PROD_004,LUNCH BAG VINTAGE DOILY,5,2023-10-16 11:00:00,1.65,18133,Australia
536441,PROD_012,PAPK OF 12 VINTAGE TICKETS,8,2023-04-28 13:00:00,0.85,15257,UK
536441,PROD_019,STRAWBERRY SHOPPING TROLLEY,8,2023-04-28 13:00:00,2.95,15257,UK
536442,PROD_003,JUMBO BAG RED RETROSPOT,4,2023-11-20 09:00:00,1.85,18535,France
536443,PROD_010,ALARM CLOCK BAKELIKE RED,8,2023-05-28 17:00:00,3.75,14461,UK
536443,PROD_011,ALARM CLOCK BAKELIKE GREEN,9,2023-05-28 17:00:00,3.75,14461,UK
536444,PROD_004,LUNCH BAG VINTAGE DOILY,6,2023-11-12 11:00:00,1.65,13984,UK
536444,PROD_007,SET OF 3 REGENCY TEA TOWELS,8,2023-11-12 11:00:00,3.25,13984,Australia
536444,PROD_009,SET OF 2 TEA TOWELS,7,2023-11-12 11:00:00,2.5,13984,UK
536444,PROD_016,SET OF 4 KNICK KNACK TINS,5,2023-11-12 11:00:00,5.95,13984,USA
536444,PROD_008,ROSES REGENCY TEACUP AND SAUCER,4,2023-11-12 11:00:00,5.95,13984,UK
536445,PROD_014,WOODEN PICTURE FRAME WHITE,5,2023-01-01 13:00:00,4.5,15217,UK
536445,PROD_008,ROSES REGENCY TEACUP AND SAUCER,4,2023-01-01 13:00:00,5.95,15217,Germany
536446,PROD_001,SET OF 6 SPACEBOY CD,2,2023-10-18 11:00:00,3.95,17377,UK
536446,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,1,2023-10-18 11:00:00,0.55,17377,UK
536447,PROD_019,STRAWBERRY SHOPPING TROLLEY,6,2023-12-30 10:00:00,2.95,13299,UK
536448,PROD_016,SET OF 4 KNICK KNACK TINS,7,2023-06-26 13:00:00,5.95,17625,USA
536449,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,8,2023-06-26 11:00:00,0.55,15777,UK
536449,PROD_002,REGENCY CAKESTAND 3 TIER,1,2023-06-26 11:00:00,12.75,15777,UK
536450,PROD_016,SET OF 4 KNICK KNACK TINS,8,2023-08-03 10:00:00,5.95,13334,UK
536451,PROD_016,SET OF 4 KNICK KNACK TINS,6,2023-03-19 10:00:00,5.95,13113,Germany
536451,PROD_017,SET OF 4 PANTRY JARS,4,2023-03-19 10:00:00,6.35,13113,UK
536452,PROD_010,ALARM CLOCK BAKELIKE RED,1,2023-12-25 10:00:00,3.75,16495,UK
536452,PROD_011,ALARM CLOCK BAKELIKE GREEN,2,2023-12-25 10:00:00,3.75,16495,Australia
536453,PROD_007,SET OF 3 REGENCY TEA TOWELS,6,2023-11-17 16:00:00,3.25,15424,UK
536454,PROD_010,ALARM CLOCK BAKELIKE RED,8,2023-03-08 10:00:00,3.75,15645,Germany
536454,PROD_011,ALARM CLOCK BAKELIKE GREEN,8,2023-03-08 10:00:00,3.75,15645,Germany
536454,PROD_002,REGENCY CAKESTAND 3 TIER,4,2023-03-08 10:00:00,12.75,15645,USA
536455,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-08-11 14:00:00,2.95,16622,Australia
536455,PROD_002,REGENCY CAKESTAND 3 TIER,5,2023-08-11 14:00:00,12.75,16622,UK
536455,PROD_017,SET OF 4 PANTRY JARS,2,2023-08-11 14:00:00,6.35,16622,UK
536455,PROD_005,ASSORTED COLOUR BIRD ORNAMENT,7,2023-08-11 14:00:00,1.69,16622,UK
536456,PROD_011,ALARM CLOCK BAKELIKE GREEN,8,2023-10-20 13:00:00,3.75,18749,UK
536456,PROD_002,REGENCY CAKESTAND 3 TIER,8,2023-10-20 13:00:00,12.75,18749,USA
536456,PROD_019,STRAWBERRY SHOPPING TROLLEY,7,2023-10-20 13:00:00,2.95,18749,Germany
536456,PROD_011,ALARM CLOCK BAKELIKE GREEN,1,2023-10-20 13:00:00,3.75,18749,UK
536457,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,6,2023-01-14 16:00:00,0.55,15625,France
536457,PROD_008,ROSES REGENCY TEACUP AND SAUCER,4,2023-01-14 16:00:00,5.95,15625,UK
536458,PROD_017,SET OF 4 PANTRY JARS,5,2023-04-19 09:00:00,6.35,14421,Germany
536459,PROD_011,ALARM CLOCK BAKELIKE GREEN,6,2023-02-03 08:00:00,3.75,12385,UK
536459,PROD_009,SET OF 2 TEA TOWELS,9,2023-02-03 08:00:00,2.5,12385,UK
536460,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,1,2023-06-17 09:00:00,0.55,17171,UK
536460,PROD_009,SET OF 2 TEA TOWELS,2,2023-06-17 09:00:00,2.5,17171,UK
536460,PROD_012,PAPK OF 12 VINTAGE TICKETS,1,2023-06-17 09:00:00,0.85,17171,UK
536461,PROD_003,JUMBO BAG RED RETROSPOT,3,2023-10-09 12:00:00,1.85,15708,USA
536461,PROD_016,SET OF 4 KNICK KNACK TINS,7,2023-10-09 12:00:00,5.95,15708,France
536461,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,6,2023-10-09 12:00:00,0.55,15708,UK
536461,PROD_007,SET OF 3 REGENCY TEA TOWELS,8,2023-10-09 12:00:00,3.25,15708,UK
536462,PROD_009,SET OF 2 TEA TOWELS,2,2023-05-28 10:00:00,2.5,13095,France
536462,PROD_007,SET OF 3 REGENCY TEA TOWELS,2,2023-05-28 10:00:00,3.25,13095,UK
536462,PROD_014,WOODEN PICTURE FRAME WHITE,9,2023-05-28 10:00:00,4.5,13095,UK
536463,PROD_009,SET OF 2 TEA TOWELS,2,2023-08-05 15:00:00,2.5,18105,Germany
536463,PROD_007,SET OF 3 REGENCY TEA TOWELS,3,2023-08-05 15:00:00,3.25,18105,UK
536464,PROD_016,SET OF 4 KNICK KNACK TINS,8,2023-04-11 08:00:00,5.95,14667,Germany
536465,PROD_005,ASSORTED COLOUR BIRD ORNAMENT,9,2023-05-29 08:00:00,1.69,16407,France
536465,PROD_007,SET OF 3 REGENCY TEA TOWELS,9,2023-05-29 08:00:00,3.25,16407,USA
536465,PROD_017,SET OF 4 PANTRY JARS,7,2023-05-29 08:00:00,6.35,16407,USA
536466,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-03-27 17:00:00,2.95,18258,USA
536466,PROD_002,REGENCY CAKESTAND 3 TIER,2,2023-03-27 17:00:00,12.75,18258,UK
536467,PROD_009,SET OF 2 TEA TOWELS,8,2023-03-23 11:00:00,2.5,13845,UK
536467,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,2,2023-03-23 11:00:00,0.55,13845,Australia
536467,PROD_016,SET OF 4 KNICK KNACK TINS,8,2023-03-23 11:00:00,5.95,13845,UK
536467,PROD_013,PACK OF 20 SKULL PAPER NAPKINS,7,2023-03-23 11:00:00,2.1,13845,UK
536468,PROD_015,SMALL POPCORN HOLDER,2,2023-01-04 13:00:00,1.25,16304,UK
536468,PROD_012,PAPK OF 12 VINTAGE TICKETS,2,2023-01-04 13:00:00,0.85,16304,UK
536469,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,9,2023-09-26 09:00:00,0.55,17199,UK
536469,PROD_013,PACK OF 20 SKULL PAPER NAPKINS,9,2023-09-26 09:00:00,2.1,17199,Germany
536469,PROD_019,STRAWBERRY SHOPPING TROLLEY,9,2023-09-26 09:00:00,2.95,17199,UK
536469,PROD_016,SET OF 4 KNICK KNACK TINS,4,2023-09-26 09:00:00,5.95,17199,Germany
536469,PROD_011,ALARM CLOCK BAKELIKE GREEN,1,2023-09-26 09:00:00,3.75,17199,UK
536470,PROD_015,SMALL POPCORN HOLDER,1,2023-06-07 09:00:00,1.25,13510,Australia
536471,PROD_009,SET OF 2 TEA TOWELS,5,2023-03-14 08:00:00,2.5,18439,Germany
536471,PROD_007,SET OF 3 REGENCY TEA TOWELS,6,2023-03-14 08:00:00,3.25,18439,USA
536472,PROD_007,SET OF 3 REGENCY TEA TOWELS,4,2023-12-10 09:00:00,3.25,17766,Germany
536473,PROD_008,ROSES REGENCY TEACUP AND SAUCER,1,2023-08-31 17:00:00,5.95,17774,USA
536474,PROD_016,SET OF 4 KNICK KNACK TINS,9,2023-09-19 12:00:00,5.95,18352,USA
536475,PROD_016,SET OF 4 KNICK KNACK TINS,3,2023-08-29 17:00:00,5.95,14258,UK
536475,PROD_002,REGENCY CAKESTAND 3 TIER,8,2023-08-29 17:00:00,12.75,14258,Germany
536476,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,9,2023-11-25 11:00:00,2.95,15505,UK
536476,PROD_002,REGENCY CAKESTAND 3 TIER,2,2023-11-25 11:00:00,12.75,15505,Australia
536476,PROD_004,LUNCH BAG VINTAGE DOILY,9,2023-11-25 11:00:00,1.65,15505,UK
536477,PROD_007,SET OF 3 REGENCY TEA TOWELS,2,2023-09-18 09:00:00,3.25,13905,UK
536477,PROD_004,LUNCH BAG VINTAGE DOILY,5,2023-09-18 09:00:00,1.65,13905,USA
